iter	MAE
0	20777.11024
1	20191.84434
2	19732.62917
3	19199.1997
4	18852.27927
5	18387.26521
6	17920.44107
7	17393.32961
8	17028.62516
9	16669.48474
10	16366.5384
11	15958.33216
12	15671.34861
13	15299.10417
14	15051.01971
15	14782.60817
16	14526.9967
17	14156.23627
18	13882.06261
19	13588.38185
20	13310.37995
21	13085.94806
22	12797.68569
23	12499.24245
24	12164.46708
25	11927.83466
26	11673.5246
27	11439.569
28	11240.43693
29	11098.79877
30	10826.93728
31	10599.48642
32	10443.16206
33	10305.89957
34	10180.48407
35	9978.212841
36	9796.101619
37	9686.817245
38	9553.304757
39	9400.606744
40	9259.948841
41	9083.071329
42	8869.517538
43	8753.931887
44	8600.825093
45	8509.386387
46	8390.709463
47	8278.499109
48	8178.310417
49	8007.357549
50	7827.035647
51	7731.446553
52	7602.338047
53	7522.361545
54	7385.49988
55	7225.593635
56	7049.767148
57	6970.598915
58	6889.32815
59	6782.985955
60	6630.412628
61	6550.712844
62	6407.61329
63	6315.262985
64	6189.927307
65	6060.833697
66	5963.31892
67	5852.849332
68	5754.026051
69	5718.469867
70	5605.975598
71	5546.694145
72	5458.06872
73	5381.45837
74	5267.910173
75	5172.06488
76	5068.018384
77	4996.454622
78	4916.581048
79	4833.877604
80	4770.994702
81	4695.349252
82	4628.062427
83	4555.279269
84	4511.788091
85	4464.744465
86	4435.192306
87	4335.572398
88	4309.501159
89	4267.143015
90	4212.303964
91	4175.64659
92	4125.294083
93	4106.111772
94	4069.994674
95	4009.226828
96	3945.692448
97	3893.008026
98	3881.765852
99	3864.22971
100	3815.272102
101	3782.71724
102	3758.863753
103	3742.320469
104	3712.00305
105	3688.811188
106	3658.92694
107	3626.925814
108	3573.296821
109	3501.505114
110	3476.77259
111	3445.596331
112	3433.003338
113	3408.83928
114	3365.155528
115	3346.263913
116	3301.616283
117	3277.102069
118	3240.350415
119	3205.294682
120	3181.797405
121	3166.04806
122	3141.783565
123	3107.886576
124	3092.555359
125	3071.519728
126	3056.185094
127	3036.886176
128	3017.325086
129	2985.649585
130	2961.927566
131	2937.483084
132	2875.802118
133	2854.447308
134	2825.82301
135	2801.498455
136	2786.808385
137	2769.995804
138	2755.807189
139	2723.253783
140	2690.677144
141	2660.739667
142	2637.407912
143	2603.109964
144	2586.444857
145	2571.411208
146	2551.952383
147	2539.782049
148	2520.219853
149	2512.559029
