iter	Passed	Remaining
0	0	22
1	0	18
2	0	16
3	0	15
4	0	15
5	0	14
6	0	14
7	0	13
8	0	13
9	0	13
10	1	13
11	1	13
12	1	12
13	1	12
14	1	12
15	1	12
16	1	12
17	1	12
18	1	11
19	1	11
20	1	11
21	1	11
22	2	11
23	2	11
24	2	11
25	2	11
26	2	10
27	2	10
28	2	10
29	2	10
30	2	10
31	2	10
32	2	10
33	3	10
34	3	10
35	3	10
36	3	10
37	3	10
38	3	9
39	3	9
40	3	9
41	3	9
42	3	9
43	3	9
44	3	9
45	4	9
46	4	9
47	4	8
48	4	8
49	4	8
50	4	8
51	4	8
52	4	8
53	4	8
54	4	8
55	4	8
56	4	8
57	5	7
58	5	7
59	5	7
60	5	7
61	5	7
62	5	7
63	5	7
64	5	7
65	5	7
66	5	7
67	5	7
68	5	7
69	6	6
70	6	6
71	6	6
72	6	6
73	6	6
74	6	6
75	6	6
76	6	6
77	6	6
78	6	6
79	6	6
80	6	5
81	7	5
82	7	5
83	7	5
84	7	5
85	7	5
86	7	5
87	7	5
88	7	5
89	7	5
90	7	5
91	7	4
92	8	4
93	8	4
94	8	4
95	8	4
96	8	4
97	8	4
98	8	4
99	8	4
100	8	4
101	8	4
102	8	4
103	8	3
104	8	3
105	9	3
106	9	3
107	9	3
108	9	3
109	9	3
110	9	3
111	9	3
112	9	3
113	9	3
114	9	3
115	9	2
116	10	2
117	10	2
118	10	2
119	10	2
120	10	2
121	10	2
122	10	2
123	10	2
124	10	2
125	10	2
126	10	1
127	10	1
128	11	1
129	11	1
130	11	1
131	11	1
132	11	1
133	11	1
134	11	1
135	11	1
136	11	1
137	11	1
138	12	0
139	12	0
140	12	0
141	12	0
142	12	0
143	12	0
144	12	0
145	12	0
146	12	0
147	13	0
148	13	0
149	13	0
