brand,model,year,price,mileage,location,country_code,state,listing_url,engine,transmission,sold,active_listing,seller_name,seller_url,seller_verified,title,image_url,page_number,listing_index,scraped_at
McLaren,Speedtail,2020,"$2,495,000",175 km (109 mi),,,,https://www.classic.com/veh/2020-mclaren-speedtail-sbm23gdg8lw403099-nKw798n/,,Automatic,n,y,Tomini Classics,https://www.classic.com/s/tomini-classics-XnlgAV4/lots/2020-mclaren-speedtail-4oGBl14/,y,2020 McLaren Speedtail,https://images.classic.com/vehicles/ce60f081-ed87-4968-9f79-f5dd7f25a8f0.jpg?ar=16%3A9&fit=crop&w=600,1,0,2025-06-01T19:41:08.798824
McLaren,Senna,2019,"$1,329,800",1k mi,"West Chicago, Illinois, USA",US,IL,https://www.classic.com/veh/2019-mclaren-senna-sbm15aca3kw800234-WqD8rXn/,,Automatic,n,y,Chicago Motor Cars,https://www.classic.com/s/chicago-motor-cars-e4560zn/lots/2019-mclaren-senna-nmmRz2n/,y,2019 McLaren Senna,https://images.classic.com/vehicles/0b7767faf0dfa686ac42a7ad9e1ebc25.jpeg?ar=16%3A9&fit=crop&w=600,1,1,2025-06-01T19:41:08.800513
Ford,Mustang ASC McLaren,1990,"$18,900",57k mi,"Mankato, Minnesota, USA",US,MN,https://www.classic.com/veh/1990-ford-mustang-asc-mclaren-1facp40e5lf132917-W9Q60bW/,,Automatic,n,y,Unique Classic Cars,https://www.classic.com/s/unique-classic-cars-OpzRApX/lots/1990-ford-mustang-asc-mclaren-n8lLBKn/,y,1990 Ford Mustang ASC McLaren,https://images.classic.com/vehicles/4418a583a7d3dedf39e378ca3791d4b6.jpeg?ar=16%3A9&fit=crop&w=600,1,2,2025-06-01T19:41:08.801325
McLaren,650S Spider,2015,"$180,493",12k mi,"Kelowna, CAN",CA,CAN,https://www.classic.com/veh/2015-mclaren-650s-spider-sbm11faa2fw003944-WkJ7Mzn/,,Automatic,n,y,August Luxury Motorcars,https://www.classic.com/s/august-luxury-motorcars-ZnQyxen/lots/2015-mclaren-650s-spider-nlOP7M4/,y,2015 McLaren 650S Spider,https://images.classic.com/vehicles/df0a264f0a73f8758009b8cebca6bcaa.jpeg?ar=16%3A9&fit=crop&w=600,1,3,2025-06-01T19:41:08.801968
McLaren,720S Performance,2019,"$239,947",6k mi,"Edmond, Oklahoma, USA",US,OK,https://www.classic.com/veh/2019-mclaren-720s-performance-sbm14dca9kw002406-pdKmaBW/,,Automatic,n,y,Exotic Motorsports of Oklahoma,https://www.classic.com/s/exotic-motorsports-of-oklahoma-XnlgNg4/lots/2019-mclaren-720s-performance-WjDGLN4/,y,2019 McLaren 720S Performance,https://images.classic.com/vehicles/d696c674c240459e95b5a987b8c438a6.jpeg?ar=16%3A9&fit=crop&w=600,1,4,2025-06-01T19:41:08.802618
Ford,Mustang ASC McLaren,1988,"$15,995",47k mi,"Wayne, Michigan, USA",US,MI,https://www.classic.com/veh/1988-ford-mustang-asc-mclaren-1fabp40e3jf220664-4yDdYqp/,,Automatic,n,y,Classics and Beyond Auto Gallery,https://www.classic.com/s/classics-and-beyond-auto-gallery-8pJavOW/lots/1988-ford-mustang-asc-mclaren-4ZGQaan/,y,1988 Ford Mustang ASC McLaren,https://images.classic.com/vehicles/8130667f09daef05d3b1e53c6eab822d.jpeg?ar=16%3A9&fit=crop&w=600,1,5,2025-06-01T19:41:08.803253
McLaren,720S Performance,2018,"$199,995",22k mi,"St. Louis, Missouri, USA",US,MO,https://www.classic.com/veh/2018-mclaren-720s-performance-sbm14dca1jw000793-WLRYjk4/,,Automatic,n,y,RP Exotics,https://www.classic.com/s/rp-exotics-vnKmQxp/lots/2018-mclaren-720s-performance-nlOzZJ4/,y,2018 McLaren 720S Performance,https://images.classic.com/vehicles/642562d0abf94ff1b9431201e9fe6467.jpeg?ar=16%3A9&fit=crop&w=600,1,6,2025-06-01T19:41:08.803874
McLaren,570S,2016,"$137,173",18k mi,"Kelowna, CAN",CA,CAN,https://www.classic.com/veh/2016-mclaren-570s-sbm13daa9gw000197-WvewYMn/,,Automatic,n,y,August Luxury Motorcars,https://www.classic.com/s/august-luxury-motorcars-ZnQyxen/lots/2016-mclaren-570s-nlOYVd4/,y,2016 McLaren 570S,https://images.classic.com/vehicles/17f573fc4c2ca03d0338dca31b65c1ce.jpeg?ar=16%3A9&fit=crop&w=600,1,7,2025-06-01T19:41:08.804492
McLaren,570S,2017,"$139,981",12k mi,"Franklin, Tennessee, USA",US,TN,https://www.classic.com/veh/2017-mclaren-570s-sbm13daa3hw002724-p65B6gW/,,Automatic,n,y,111 Motorcars,https://www.classic.com/s/111-motorcars-ZnQygen/lots/2017-mclaren-570s-pERMwj4/,y,2017 McLaren 570S,https://images.classic.com/vehicles/e97d90326ac98b57d0d5158c029edbbd.jpeg?ar=16%3A9&fit=crop&w=600,1,8,2025-06-01T19:41:08.805102
Mercedes-Benz,SLR McLaren,2006,"$399,995",3k mi,"City of Glen Cove, New York, USA",US,NY,https://www.classic.com/veh/2006-mercedes-benz-slr-mclaren-wddaj76f16m000828-pdMkEw4/,,Automatic,n,y,Ryan Friedman Motor Cars,https://www.classic.com/s/ryan-friedman-motor-cars-bnw0NXW/lots/2006-mercedes-benz-slr-mclaren-nKjkYQ4/,y,2006 Mercedes-Benz SLR McLaren,https://images.classic.com/vehicles/f6078bcef661a0888db092e026d9260b.jpeg?ar=16%3A9&fit=crop&w=600,1,9,2025-06-01T19:41:08.805734
