brand,model,model_raw,year,price,currency,price_raw,mileage,location,country_code,state,listing_url,listing_date,engine,transmission,sold,active_listing,seller_name,seller_url,seller_verified,title,image_url,page_number,listing_index,scraped_at
McLaren,Speedtail,Speedtail,2020,2495000,USD,"$2,495,000",175 km (109 mi),,,,https://www.classic.com/veh/2020-mclaren-speedtail-sbm23gdg8lw403099-nKw798n/,"May 7, 2025",,Automatic,n,y,Tomini Classics,https://www.classic.com/s/tomini-classics-XnlgAV4/lots/2020-mclaren-speedtail-4oGBl14/,y,2020 McLaren Speedtail,https://images.classic.com/vehicles/ce60f081-ed87-4968-9f79-f5dd7f25a8f0.jpg?ar=16%3A9&fit=crop&w=600,1,0,2025-06-01T20:10:07.867472
McLaren,Senna,Senna,2019,1329800,USD,"$1,329,800",1k mi,"West Chicago, Illinois, USA",US,IL,https://www.classic.com/veh/2019-mclaren-senna-sbm15aca3kw800234-WqD8rXn/,"May 9, 2025",,Automatic,n,y,Chicago Motor Cars,https://www.classic.com/s/chicago-motor-cars-e4560zn/lots/2019-mclaren-senna-nmmRz2n/,y,2019 McLaren Senna,https://images.classic.com/vehicles/0b7767faf0dfa686ac42a7ad9e1ebc25.jpeg?ar=16%3A9&fit=crop&w=600,1,1,2025-06-01T20:10:07.869762
Ford,Mustang ASC McLaren,Mustang ASC McLaren,1990,18900,USD,"$18,900",57k mi,"Mankato, Minnesota, USA",US,MN,https://www.classic.com/veh/1990-ford-mustang-asc-mclaren-1facp40e5lf132917-W9Q60bW/,"May 10, 2025",,Automatic,n,y,Unique Classic Cars,https://www.classic.com/s/unique-classic-cars-OpzRApX/lots/1990-ford-mustang-asc-mclaren-n8lLBKn/,y,1990 Ford Mustang ASC McLaren,https://images.classic.com/vehicles/4418a583a7d3dedf39e378ca3791d4b6.jpeg?ar=16%3A9&fit=crop&w=600,1,2,2025-06-01T20:10:07.870592
McLaren,650S,650S Spider,2015,180493,USD,"$180,493",12k mi,"Kelowna, CAN",CA,CAN,https://www.classic.com/veh/2015-mclaren-650s-spider-sbm11faa2fw003944-WkJ7Mzn/,"May 5, 2025",,Automatic,n,y,August Luxury Motorcars,https://www.classic.com/s/august-luxury-motorcars-ZnQyxen/lots/2015-mclaren-650s-spider-nlOP7M4/,y,2015 McLaren 650S Spider,https://images.classic.com/vehicles/df0a264f0a73f8758009b8cebca6bcaa.jpeg?ar=16%3A9&fit=crop&w=600,1,3,2025-06-01T20:10:07.871335
McLaren,720S,720S Performance,2019,239947,USD,"$239,947",6k mi,"Edmond, Oklahoma, USA",US,OK,https://www.classic.com/veh/2019-mclaren-720s-performance-sbm14dca9kw002406-pdKmaBW/,"May 3, 2025",,Automatic,n,y,Exotic Motorsports of Oklahoma,https://www.classic.com/s/exotic-motorsports-of-oklahoma-XnlgNg4/lots/2019-mclaren-720s-performance-WjDGLN4/,y,2019 McLaren 720S Performance,https://images.classic.com/vehicles/d696c674c240459e95b5a987b8c438a6.jpeg?ar=16%3A9&fit=crop&w=600,1,4,2025-06-01T20:10:07.872047
Ford,Mustang ASC McLaren,Mustang ASC McLaren,1988,15995,USD,"$15,995",47k mi,"Wayne, Michigan, USA",US,MI,https://www.classic.com/veh/1988-ford-mustang-asc-mclaren-1fabp40e3jf220664-4yDdYqp/,"May 13, 2025",,Automatic,n,y,Classics and Beyond Auto Gallery,https://www.classic.com/s/classics-and-beyond-auto-gallery-8pJavOW/lots/1988-ford-mustang-asc-mclaren-4ZGQaan/,y,1988 Ford Mustang ASC McLaren,https://images.classic.com/vehicles/8130667f09daef05d3b1e53c6eab822d.jpeg?ar=16%3A9&fit=crop&w=600,1,5,2025-06-01T20:10:07.872748
McLaren,720S,720S Performance,2018,199995,USD,"$199,995",22k mi,"St. Louis, Missouri, USA",US,MO,https://www.classic.com/veh/2018-mclaren-720s-performance-sbm14dca1jw000793-WLRYjk4/,"May 13, 2025",,Automatic,n,y,RP Exotics,https://www.classic.com/s/rp-exotics-vnKmQxp/lots/2018-mclaren-720s-performance-nlOzZJ4/,y,2018 McLaren 720S Performance,https://images.classic.com/vehicles/642562d0abf94ff1b9431201e9fe6467.jpeg?ar=16%3A9&fit=crop&w=600,1,6,2025-06-01T20:10:07.873461
McLaren,570S,570S,2016,137173,USD,"$137,173",18k mi,"Kelowna, CAN",CA,CAN,https://www.classic.com/veh/2016-mclaren-570s-sbm13daa9gw000197-WvewYMn/,"May 2, 2025",,Automatic,n,y,August Luxury Motorcars,https://www.classic.com/s/august-luxury-motorcars-ZnQyxen/lots/2016-mclaren-570s-nlOYVd4/,y,2016 McLaren 570S,https://images.classic.com/vehicles/17f573fc4c2ca03d0338dca31b65c1ce.jpeg?ar=16%3A9&fit=crop&w=600,1,7,2025-06-01T20:10:07.874252
McLaren,570S,570S,2017,139981,USD,"$139,981",12k mi,"Franklin, Tennessee, USA",US,TN,https://www.classic.com/veh/2017-mclaren-570s-sbm13daa3hw002724-p65B6gW/,"May 15, 2025",,Automatic,n,y,111 Motorcars,https://www.classic.com/s/111-motorcars-ZnQygen/lots/2017-mclaren-570s-pERMwj4/,y,2017 McLaren 570S,https://images.classic.com/vehicles/e97d90326ac98b57d0d5158c029edbbd.jpeg?ar=16%3A9&fit=crop&w=600,1,8,2025-06-01T20:10:07.874987
Mercedes-Benz,SLR McLaren,SLR McLaren,2006,399995,USD,"$399,995",3k mi,"City of Glen Cove, New York, USA",US,NY,https://www.classic.com/veh/2006-mercedes-benz-slr-mclaren-wddaj76f16m000828-pdMkEw4/,"May 15, 2025",,Automatic,n,y,Ryan Friedman Motor Cars,https://www.classic.com/s/ryan-friedman-motor-cars-bnw0NXW/lots/2006-mercedes-benz-slr-mclaren-nKjkYQ4/,y,2006 Mercedes-Benz SLR McLaren,https://images.classic.com/vehicles/f6078bcef661a0888db092e026d9260b.jpeg?ar=16%3A9&fit=crop&w=600,1,9,2025-06-01T20:10:07.875766
